category,name,price,unit
Solvent used,Acetonitrile (LC-MS grade),0.12,mL
Solvent used,Methanol (LC-MS grade),0.08,mL
Solvent used,Water (ultrapure),0.01,mL
Solvent used,Isopropanol (HPLC grade),0.03,mL
Solvent used,Acetone,0.03,mL
Reagent used,Formic acid,0.20,g
Reagent used,Ammonium acetate,0.06,g
Reagent used,Trifluoroacetic acid (TFA),0.25,g
Reagent used,Sodium chloride,0.01,g
Reagent used,QuEChERS extraction salts,0.05,g
Sample prep materials,SPE cartridge (C18),1.80,pcs
Sample prep materials,Syringe filter 0.22 µm,0.45,pcs
Sample prep materials,Centrifuge tube 15 mL,0.18,pcs
Sample prep materials,Microcentrifuge tube 1.5 mL,0.08,pcs
Sample prep materials,Pipette tip set (per sample),0.10,pcs
